,City,Lat,Lng,Population,IDHM,PIB
42,Mesquita,-22.783092,-43.4293599,177016,0.737,13166.48
43,Miguel Pereira,-22.4539417,-43.4691978,25622,0.745,24067.58
44,Miracema,-21.4123651,-42.1965147,27134,0.713,20973.65
45,Natividade,-21.040694,-41.9817534,15305,0.73,19417.17
46,Nilópolis,-22.8080114,-43.4138222,162893,0.753,17875.04
47,Niterói,-22.8832371,-43.1154552,516981,0.837,90643.8
48,Nova Friburgo,-22.2800004,-42.5325303,191664,0.745,28107.56
49,Nova Iguaçu,-22.7592175,-43.4508728,825388,0.713,21220.42
50,Paracambi,-22.6109158,-43.7096912,53093,0.72,18798.44
51,Paraíba do Sul,-22.1636384,-43.2916915,44741,0.702,22678.15
52,Parati,-23.2196461,-44.7154196,44175,0.693,63920.14
53,Paty do Alferes,-22.4272703,-43.4219523,27942,0.671,20065.93
54,Petrópolis,-22.5075743,-43.1785356,307144,0.745,44559.04
55,Pinheiral,-22.5129436,-44.001435,25563,0.715,28471.64
56,Piraí,-22.6287489,-43.8981758,29802,0.708,76140.12
57,Porciúncula,-20.9627278,-42.0405703,19068,0.697,18484.49
58,Porto Real,-22.4198366,-44.2897974,20254,0.713,123194.69
59,Quatis,-22.4066444,-44.2577453,14562,0.69,19430.48
60,Queimados,-22.7156978,-43.555754,152311,0.68,25782.11
61,Quissamã,-22.107205,-41.4723411,25535,0.704,154726.99
62,Resende,-22.4683626,-44.4463494,133244,0.768,65208.31
63,Rio Bonito,-22.7108378,-42.6271864,60930,0.71,25822.81
64,Rio Claro,-22.7229997,-44.1359986,18677,0.683,21065.58
65,Rio das Flores,-22.1683478,-43.5858689,9401,0.68,23495.0
66,Rio das Ostras,-22.5269448,-41.944972,159529,0.773,51379.2
67,Rio de Janeiro,-22.9110137,-43.2093727,6775561,0.799,52833.25
68,Santa Maria Madalena,-21.9557957,-42.008283,10380,0.668,18163.48
69,Santo Antônio de Pádua,-21.5389992,-42.1799978,42705,0.718,27256.95
70,São Francisco de Itabapoana,-21.47437,-41.1202,42214,0.639,24265.57
71,São Fidélis,-21.6431,-41.7578,38749,0.691,19002.34
72,São Gonçalo,-22.8219014,-43.0309252,1098357,0.739,16916.33
73,São João da Barra,-21.6348588,-41.0487079,36731,0.671,220707.37
74,São João de Meriti,-22.8043744,-43.3724125,473385,0.719,20736.22
75,São José de Ubá,-21.3595365,-41.9389905,7240,0.652,24995.97
76,São José do Vale do Rio Preto,-22.1509994,-42.9239986,22032,0.66,24797.89
77,São Pedro da Aldeia,-22.8362,-42.1037,107556,0.712,23326.65
78,São Sebastião do Alto,-21.9568272,-42.134815,9416,0.646,21688.85
79,Sapucaia,-21.9946569,-42.9137975,18270,0.675,41360.86
80,Saquarema,-22.9257974,-42.507633,91938,0.709,120175.92
81,Seropédica,-22.7438887,-43.6991998,83841,0.713,50521.23
82,Silva Jardim,-22.6504534,-42.3919146,21775,0.654,22724.23
83,Sumidouro,-22.0498059,-42.6742601,15709,0.611,28031.26
84,Tanguá,-22.7353777,-42.7202272,34898,0.654,16878.1
85,Teresópolis,-22.4164578,-42.975194,185820,0.73,29174.07
86,Trajano de Moraes,-22.0637911,-42.0644414,10653,0.667,19459.23
87,Três Rios,-22.1167884,-43.2087226,82468,0.725,53338.23
88,Valença,-22.2461028,-43.6996917,77202,0.738,26803.4
89,Varre-Sai,-20.9308869,-41.8685772,11208,0.659,17872.64
90,Vassouras,-22.4040394,-43.6633853,37262,0.714,29585.01
91,Volta Redonda,-22.5225497,-44.1040128,274925,0.771,40355.98
